booking_id,booking_ts,agency_id,user_id,product_type,route_type,origin_country,dest_country,lead_time_days,booking_value,passengers_count,payment_method,booking_status
B000036,2025-02-08 19:44:00,A0040,U00066,hotel,international,IN,US,38,941.14,10,credit_line,confirmed
B000037,2025-07-13 05:32:00,A0153,U00185,flight,domestic,IN,IN,1,151.9,8,credit_line,confirmed
B000038,2025-12-29 16:07:00,A0032,U00604,hotel,domestic,IN,IN,13,463.91,1,card,confirmed
B000039,2025-08-29 11:40:00,A0001,U00718,flight,domestic,US,US,10,430.8,1,credit_line,confirmed
B000040,2025-07-04 22:40:00,A0076,U00009,flight,international,US,US,19,1101.44,7,credit_line,confirmed
B000041,2025-10-19 01:36:00,A0079,U00377,flight,domestic,IN,IN,6,257.82,1,card,pending
B000042,2025-05-10 02:42:00,A0008,U00467,flight,international,IN,US,57,1883.94,3,credit_line,confirmed
B000043,2025-04-06 18:21:00,A0060,U00479,flight,international,IN,TH,18,603.67,4,card,confirmed
B000044,2025-03-27 13:45:00,A0074,U00090,hotel,international,US,IN,43,874.82,2,credit_line,confirmed
B000045,2025-12-09 15:26:00,A0045,U00304,flight,domestic,US,US,8,427.72,1,credit_line,confirmed
B000046,2025-06-03 23:38:00,A0186,U00656,flight,domestic,IN,IN,9,117.68,4,bank,confirmed
B000047,2025-11-28 23:56:00,A0058,U00579,hotel,domestic,IN,IN,7,150.72,4,bank,confirmed
B000048,2025-06-18 13:26:00,A0021,U00662,flight,international,IN,US,38,1209.15,1,bank,confirmed
B000049,2025-07-30 06:51:00,A0063,U00494,hotel,international,AE,FR,24,1190.82,6,credit_line,confirmed
B000050,2025-10-25 22:59:00,A0020,U00754,flight,international,SG,UK,49,751.85,5,credit_line,confirmed
B000051,2025-10-22 06:39:00,A0001,U00713,flight,domestic,AE,AE,14,167.91,1,credit_line,confirmed
B000052,2025-11-20 14:36:00,A0168,U00531,hotel,domestic,US,US,14,70.44,1,credit_line,confirmed
B000053,2025-01-05 14:11:00,A0152,U00639,hotel,international,IN,DE,53,2066.54,2,credit_line,confirmed
B000054,2025-09-01 07:46:00,A0119,U00420,flight,domestic,UK,UK,9,192.21,5,bank,confirmed
B000055,2025-07-24 23:47:00,A0008,U00098,flight,international,IN,TH,39,536.58,2,card,confirmed
B000056,2025-04-05 16:23:00,A0148,U00059,hotel,domestic,IN,IN,15,146.79,1,credit_line,confirmed
B000057,2025-08-24 13:53:00,A0190,U00177,flight,domestic,UK,UK,6,62.22,1,credit_line,confirmed
B000058,2025-12-07 08:12:00,A0178,U00764,flight,international,US,UK,34,644.44,2,credit_line,confirmed
B000059,2025-05-13 01:51:00,A0148,U00529,hotel,domestic,UK,UK,16,78.69,10,credit_line,confirmed
B000060,2025-07-19 00:48:00,A0172,U00766,hotel,domestic,UK,UK,14,714.8,5,credit_line,confirmed
B000061,2025-06-23 01:40:00,A0062,U00095,hotel,international,UK,UK,21,1621.7,2,credit_line,confirmed
B000062,2025-10-30 19:36:00,A0080,U00774,hotel,international,IN,AE,48,1390.48,4,card,confirmed
B000063,2025-03-05 17:48:00,A0059,U00229,hotel,international,UK,US,70,740.88,1,credit_line,confirmed
B000064,2025-11-22 03:59:00,A0072,U00567,hotel,international,UK,DE,43,1629.44,3,credit_line,confirmed
B000065,2025-06-19 17:57:00,A0151,U00769,hotel,domestic,AE,AE,7,220.74,5,credit_line,pending
B000066,2025-02-04 16:46:00,A0166,U00544,flight,domestic,AE,AE,6,311.28,2,credit_line,confirmed
B000067,2025-05-10 01:26:00,A0059,U00322,flight,international,UK,UK,0,16812.13,4,credit_line,confirmed
B000068,2025-07-09 06:10:00,A0156,U00375,hotel,domestic,UK,UK,9,145.26,3,credit_line,confirmed
B000069,2025-04-12 14:17:00,A0131,U00616,hotel,domestic,IN,IN,15,143.23,3,card,confirmed
B000070,2025-10-12 15:49:00,A0120,U00263,flight,international,UK,UK,67,1148.61,1,bank,confirmed
B000071,2025-08-21 04:21:00,A0121,U00182,flight,domestic,UK,UK,4,220.57,6,card,confirmed
B000072,2025-01-30 21:01:00,A0165,U00727,package,international,IN,SG,38,3168.12,4,credit_line,confirmed
B000073,2025-09-22 14:59:00,A0119,U00420,flight,domestic,UK,UK,6,401.23,1,credit_line,confirmed
B000074,2025-04-14 16:53:00,A0138,U00389,flight,domestic,IN,IN,12,180.95,3,credit_line,confirmed
B000075,2025-10-20 01:54:00,A0014,U00671,hotel,domestic,IN,IN,7,795.94,3,credit_line,confirmed
B000076,2025-03-02 05:55:00,A0165,U00006,package,international,AE,AE,16,1864.09,4,credit_line,confirmed
B000077,2025-02-16 01:30:00,A0154,U00026,hotel,domestic,US,US,6,276.9,1,credit_line,confirmed
B000078,2025-06-13 00:09:00,A0024,U00478,hotel,domestic,IN,IN,5,317.97,3,credit_line,confirmed
B000079,2025-07-20 19:36:00,A0080,U00707,flight,international,UK,AE,67,3078.72,1,credit_line,confirmed
B000080,2025-12-03 22:19:00,A0158,U00348,hotel,domestic,AE,AE,10,346.76,2,card,confirmed
B000081,2025-04-14 01:50:00,A0189,U00630,flight,domestic,US,US,4,147.98,2,credit_line,confirmed
B000082,2025-09-06 05:50:00,A0192,U00366,hotel,international,UK,DE,58,1073.1,1,credit_line,confirmed
B000083,2025-08-30 21:01:00,A0015,U00450,flight,domestic,US,US,17,98.13,1,credit_line,confirmed
B000084,2025-11-03 23:17:00,A0160,U00532,flight,domestic,UK,UK,18,275.12,4,credit_line,confirmed
B000085,2025-01-20 16:45:00,A0164,U00651,flight,domestic,UK,UK,3,341.94,5,credit_line,confirmed
B000086,2025-07-11 04:53:00,A0147,U00317,flight,domestic,IN,IN,13,352.49,1,credit_line,confirmed
B000087,2025-11-23 08:45:00,A0157,U00422,hotel,domestic,IN,IN,1,234.43,2,credit_line,confirmed
B000088,2025-01-04 00:49:00,A0091,U00314,package,domestic,IN,IN,19,287.64,5,credit_line,confirmed
B000089,2025-11-14 08:19:00,A0047,U00112,hotel,domestic,UK,UK,2,81.79,1,credit_line,failed
B000090,2025-11-07 21:35:00,A0053,U00021,hotel,domestic,IN,IN,4,159.9,3,credit_line,confirmed
B000091,2025-09-12 01:43:00,A0145,U00687,flight,domestic,IN,IN,16,152.03,2,credit_line,confirmed
B000092,2025-04-30 09:55:00,A0187,U00211,hotel,domestic,US,US,16,450.35,9,credit_line,confirmed
B000093,2025-09-21 01:44:00,A0062,U00570,hotel,domestic,UK,UK,17,243.48,3,card,confirmed
B000094,2025-07-07 05:14:00,A0122,U00252,hotel,international,US,UK,87,1647.19,1,credit_line,confirmed
B000095,2025-04-04 01:17:00,A0148,U00482,flight,domestic,IN,IN,2,96.39,1,credit_line,confirmed
B000096,2025-11-25 15:47:00,A0187,U00135,hotel,international,IN,UK,12,588.92,1,credit_line,confirmed
B000097,2025-02-04 21:52:00,A0040,U00311,hotel,domestic,IN,IN,6,180.19,3,credit_line,confirmed
B000098,2025-01-04 16:30:00,A0098,U00019,flight,domestic,IN,IN,12,306.93,2,credit_line,confirmed
B000099,2025-01-23 02:17:00,A0192,U00396,hotel,domestic,IN,IN,12,124.08,1,credit_line,confirmed
B000100,2025-12-20 00:30:00,A0009,U00249,package,international,IN,FR,17,3492.37,1,card,confirmed
B000101,2025-12-04 14:40:00,A0072,U00567,flight,domestic,IN,IN,18,131.12,1,credit_line,confirmed
B000102,2025-10-31 23:44:00,A0079,U00377,hotel,domestic,AE,AE,4,270.52,2,credit_line,confirmed
B000103,2025-02-27 09:21:00,A0166,U00544,hotel,domestic,IN,IN,3,138.76,7,credit_line,confirmed
B000104,2025-01-30 09:11:00,A0171,U00717,hotel,domestic,IN,IN,17,400.55,2,credit_line,confirmed
B000105,2025-04-16 12:38:00,A0093,U00474,flight,domestic,UK,UK,9,579.39,6,credit_line,confirmed
B000106,2025-11-23 14:48:00,A0148,U00632,hotel,domestic,UK,UK,12,283.06,1,credit_line,pending
B000107,2025-11-05 09:33:00,A0125,U00681,flight,domestic,UK,UK,7,142.76,1,credit_line,confirmed
B000108,2025-09-07 16:51:00,A0139,U00702,flight,international,AE,US,55,760.18,6,credit_line,pending
B000109,2025-04-25 02:54:00,A0162,U00451,hotel,domestic,US,US,8,136.06,2,credit_line,confirmed
B000110,2025-10-01 01:58:00,A0063,U00494,hotel,domestic,US,US,3,156.03,2,credit_line,confirmed
B000111,2025-04-24 11:14:00,A0032,U00604,hotel,domestic,AE,AE,13,147.0,2,credit_line,confirmed
B000112,2025-02-03 23:29:00,A0097,U00321,flight,domestic,IN,IN,9,408.53,3,credit_line,confirmed
B000113,2025-09-20 01:49:00,A0061,U00213,flight,domestic,IN,IN,9,214.6,2,card,confirmed
B000114,2025-11-06 18:58:00,A0137,U00126,package,domestic,UK,UK,4,273.2,3,card,confirmed
B000115,2025-08-21 09:58:00,A0015,U00152,flight,domestic,AE,AE,14,101.61,1,credit_line,confirmed
B000116,2025-07-29 18:54:00,A0105,U00272,hotel,domestic,US,US,18,167.48,3,card,confirmed
B000117,2025-02-28 00:56:00,A0072,U00567,hotel,domestic,AE,AE,1,282.96,1,card,confirmed
B000118,2025-01-15 06:37:00,A0159,U00139,hotel,domestic,US,US,19,158.16,1,credit_line,confirmed
B000119,2025-07-08 07:02:00,A0149,U00041,flight,domestic,US,US,2,239.58,5,credit_line,confirmed
B000120,2025-01-26 01:20:00,A0133,U00338,hotel,domestic,US,US,5,161.43,3,credit_line,failed
B000121,2025-05-12 03:49:00,A0120,U00729,hotel,domestic,IN,IN,14,388.83,8,credit_line,confirmed
B000122,2025-12-09 22:44:00,A0065,U00189,flight,domestic,IN,IN,9,203.05,1,credit_line,confirmed
B000123,2025-03-25 12:43:00,A0012,U00020,flight,international,UK,FR,52,906.9,7,card,confirmed
B000124,2025-01-10 06:18:00,A0082,U00131,flight,domestic,UK,UK,1,238.71,3,credit_line,confirmed
B000125,2025-11-19 17:36:00,A0040,U00661,flight,domestic,IN,IN,19,239.04,2,credit_line,confirmed
B000126,2025-05-05 07:02:00,A0154,U00581,hotel,international,UK,TH,30,2514.05,4,credit_line,confirmed
B000127,2025-03-17 22:47:00,A0039,U00356,hotel,domestic,AE,AE,14,102.71,8,card,confirmed
B000128,2025-08-16 19:22:00,A0080,U00707,package,international,IN,AE,18,735.72,4,credit_line,confirmed
B000129,2025-08-31 03:24:00,A0133,U00291,flight,international,AE,FR,86,1567.56,1,credit_line,confirmed
B000130,2025-12-10 14:15:00,A0017,U00385,hotel,international,US,DE,70,941.85,1,credit_line,confirmed
B000131,2025-11-05 05:33:00,A0096,U00643,flight,international,AE,AE,86,1477.56,1,card,confirmed
B000132,2025-10-06 10:46:00,A0033,U00405,hotel,domestic,UK,UK,17,229.27,5,bank,confirmed
B000133,2025-09-05 23:13:00,A0051,U00605,hotel,domestic,IN,IN,14,121.86,4,credit_line,confirmed
B000134,2025-12-13 21:55:00,A0078,U00672,package,international,UK,UK,76,1609.97,3,credit_line,confirmed
B000135,2025-02-14 02:48:00,A0059,U00322,hotel,international,US,US,0,19415.5,3,credit_line,confirmed
B000136,2025-12-20 09:47:00,A0087,U00590,package,international,AE,TH,24,480.37,3,credit_line,confirmed
B000137,2025-07-17 20:51:00,A0198,U00295,hotel,domestic,IN,IN,4,199.07,1,credit_line,confirmed
B000138,2025-09-20 07:57:00,A0056,U00731,hotel,domestic,SG,SG,14,159.93,3,bank,confirmed
B000139,2025-03-14 20:07:00,A0105,U00712,flight,international,US,IN,63,887.57,7,credit_line,confirmed
B000140,2025-02-12 10:06:00,A0081,U00301,hotel,domestic,IN,IN,11,212.71,3,card,confirmed
B000141,2025-06-27 10:14:00,A0026,U00412,hotel,international,IN,SG,52,1848.6,5,credit_line,confirmed
B000142,2025-12-20 09:29:00,A0131,U00445,flight,domestic,IN,IN,8,147.82,1,card,confirmed
B000143,2025-07-13 00:21:00,A0123,U00557,flight,international,AE,UK,71,2332.18,1,credit_line,confirmed
B000144,2025-07-05 17:26:00,A0118,U00705,hotel,international,AE,IN,81,727.28,2,credit_line,confirmed
B000145,2025-11-13 22:28:00,A0174,U00470,flight,domestic,US,US,14,147.71,2,credit_line,pending
B000146,2025-04-02 15:40:00,A0185,U00179,flight,domestic,IN,IN,9,454.58,2,credit_line,confirmed
B000147,2025-11-26 01:55:00,A0057,U00015,hotel,domestic,AE,AE,14,130.1,3,credit_line,confirmed
B000148,2025-04-10 23:09:00,A0062,U00258,package,international,US,US,44,1327.55,5,credit_line,confirmed
B000149,2025-07-11 22:23:00,A0123,U00275,hotel,international,IN,IN,62,816.11,6,credit_line,confirmed
B000150,2025-01-19 23:13:00,A0093,U00155,flight,domestic,SG,SG,6,444.37,1,credit_line,confirmed
B000151,2025-01-30 05:43:00,A0103,U00186,flight,domestic,UK,UK,2,125.8,1,credit_line,pending
B000152,2025-05-05 15:20:00,A0190,U00177,flight,international,IN,FR,58,4013.54,1,bank,confirmed
B000153,2025-11-27 21:07:00,A0159,U00628,flight,international,IN,US,42,2709.12,3,card,confirmed
B000154,2025-03-03 15:31:00,A0080,U00318,flight,domestic,AE,AE,11,252.06,4,bank,confirmed
B000155,2025-03-29 15:48:00,A0195,U00704,package,domestic,IN,IN,7,322.1,2,card,confirmed
B000156,2025-03-05 15:45:00,A0068,U00267,flight,international,IN,UK,62,4785.01,1,card,confirmed
B000157,2025-07-08 01:24:00,A0098,U00312,flight,domestic,US,US,13,149.5,1,credit_line,confirmed
B000158,2025-09-22 10:55:00,A0080,U00774,flight,international,AE,TH,64,1491.09,1,credit_line,confirmed
B000159,2025-12-03 04:11:00,A0149,U00041,flight,domestic,US,US,12,199.74,1,credit_line,confirmed
B000160,2025-04-01 05:09:00,A0025,U00104,flight,international,IN,SG,27,808.83,1,card,confirmed
B000161,2025-10-28 17:19:00,A0148,U00059,flight,domestic,US,US,14,160.17,3,card,pending
B000162,2025-11-08 20:18:00,A0176,U00128,package,international,UK,US,74,1616.96,1,credit_line,confirmed
B000163,2025-04-08 16:48:00,A0178,U00568,flight,domestic,UK,UK,5,693.57,1,card,confirmed
B000164,2025-02-22 18:16:00,A0117,U00646,flight,domestic,IN,IN,10,111.32,2,bank,confirmed
B000165,2025-05-05 20:50:00,A0009,U00249,flight,domestic,AE,AE,14,198.36,1,credit_line,confirmed
B000166,2025-07-11 03:31:00,A0009,U00249,flight,international,AE,AE,74,1054.8,2,credit_line,confirmed
B000167,2025-07-13 19:27:00,A0169,U00325,flight,domestic,UK,UK,4,273.85,2,credit_line,confirmed
B000168,2025-01-29 06:45:00,A0108,U00150,flight,domestic,UK,UK,15,276.0,4,credit_line,confirmed
B000169,2025-12-13 10:24:00,A0088,U00208,flight,domestic,IN,IN,11,96.8,5,card,confirmed
B000170,2025-07-13 11:26:00,A0135,U00624,hotel,domestic,US,US,9,220.47,1,credit_line,confirmed
B000171,2025-08-26 01:36:00,A0131,U00145,flight,domestic,US,US,3,63.93,2,bank,confirmed
B000172,2025-11-06 17:35:00,A0104,U00554,flight,domestic,AE,AE,2,373.31,2,credit_line,confirmed
B000173,2025-12-02 01:57:00,A0044,U00085,flight,domestic,IN,IN,1,77.82,2,credit_line,confirmed
B000174,2025-09-28 12:49:00,A0087,U00590,flight,international,UK,IN,4,740.38,1,card,confirmed
B000175,2025-03-20 17:54:00,A0025,U00593,flight,international,AE,FR,89,1781.94,1,card,confirmed
B000176,2025-04-14 10:20:00,A0123,U00275,flight,international,UK,SG,43,874.83,1,credit_line,confirmed
B000177,2025-08-27 06:53:00,A0062,U00258,flight,domestic,UK,UK,5,245.81,2,bank,confirmed
B000178,2025-01-16 10:22:00,A0005,U00245,flight,international,IN,FR,0,21607.64,1,credit_line,confirmed
B000179,2025-02-25 09:54:00,A0028,U00299,flight,domestic,SG,SG,1,361.34,3,credit_line,confirmed
B000180,2025-09-11 13:30:00,A0126,U00433,flight,domestic,AE,AE,2,153.64,2,credit_line,confirmed
B000181,2025-06-11 21:27:00,A0102,U00513,flight,domestic,US,US,10,176.63,1,credit_line,confirmed
B000182,2025-12-17 07:14:00,A0047,U00093,package,domestic,IN,IN,5,104.11,3,credit_line,confirmed
B000183,2025-04-09 02:55:00,A0168,U00531,hotel,domestic,IN,IN,9,357.06,3,card,confirmed
B000184,2025-05-05 11:18:00,A0012,U00355,hotel,domestic,US,US,13,264.0,1,credit_line,confirmed
B000185,2025-01-28 08:09:00,A0154,U00026,hotel,domestic,IN,IN,13,127.12,1,credit_line,confirmed
B000186,2025-08-20 20:22:00,A0187,U00047,package,domestic,SG,SG,9,239.37,1,card,confirmed
B000187,2025-07-07 13:54:00,A0186,U00629,hotel,domestic,IN,IN,14,85.1,1,credit_line,confirmed
B000188,2025-02-03 06:42:00,A0011,U00516,hotel,domestic,AE,AE,17,244.63,6,card,pending
B000189,2025-12-09 18:54:00,A0099,U00416,flight,domestic,SG,SG,3,406.52,1,bank,confirmed
B000190,2025-01-14 11:36:00,A0099,U00664,flight,domestic,IN,IN,18,297.65,5,card,confirmed
B000191,2025-01-10 11:52:00,A0192,U00366,hotel,domestic,US,US,12,234.01,2,credit_line,confirmed
B000192,2025-11-28 00:44:00,A0081,U00301,package,domestic,IN,IN,9,358.71,3,credit_line,confirmed
B000193,2025-03-30 23:45:00,A0009,U00490,flight,domestic,IN,IN,16,157.44,2,credit_line,confirmed
B000194,2025-01-01 01:04:00,A0188,U00365,hotel,international,IN,UK,40,329.37,2,credit_line,confirmed
B000195,2025-02-17 19:15:00,A0047,U00700,flight,domestic,SG,SG,18,430.7,2,card,confirmed
B000196,2025-05-20 21:37:00,A0006,U00243,flight,domestic,IN,IN,12,326.77,2,credit_line,confirmed
B000197,2025-06-22 01:55:00,A0123,U00688,flight,international,IN,AE,2,1674.26,1,credit_line,confirmed
B000198,2025-10-08 17:51:00,A0072,U00567,flight,domestic,US,US,19,212.56,7,credit_line,confirmed
B000199,2025-08-31 20:58:00,A0123,U00275,flight,domestic,IN,IN,1,316.46,6,credit_line,confirmed
B000200,2025-05-16 15:46:00,A0012,U00020,hotel,domestic,IN,IN,6,316.22,1,credit_line,confirmed
B000201,2025-07-09 14:10:00,A0198,U00216,hotel,domestic,IN,IN,18,183.16,1,credit_line,confirmed
B000202,2025-01-03 16:49:00,A0074,U00090,hotel,domestic,IN,IN,3,413.03,2,credit_line,confirmed
B000203,2025-03-24 01:54:00,A0047,U00112,flight,international,IN,UK,9,2223.45,9,bank,confirmed
B000204,2025-03-28 14:34:00,A0184,U00696,hotel,domestic,IN,IN,4,145.46,3,bank,confirmed
B000205,2025-02-05 02:27:00,A0106,U00550,flight,domestic,IN,IN,17,715.0,4,credit_line,confirmed
B000206,2025-04-20 04:34:00,A0139,U00286,flight,domestic,IN,IN,18,130.95,1,credit_line,confirmed
B000207,2025-07-09 16:19:00,A0164,U00645,hotel,international,IN,IN,58,377.94,1,credit_line,confirmed
B000208,2025-11-09 07:04:00,A0045,U00304,flight,international,SG,SG,86,568.45,1,credit_line,confirmed
B000209,2025-01-02 19:51:00,A0017,U00385,flight,domestic,SG,SG,15,386.91,2,credit_line,confirmed
B000210,2025-04-06 03:59:00,A0042,U00669,flight,domestic,IN,IN,17,396.13,5,credit_line,confirmed
B000211,2025-08-31 15:42:00,A0039,U00418,hotel,domestic,US,US,6,118.4,1,credit_line,confirmed
B000212,2025-07-27 19:40:00,A0072,U00230,flight,domestic,UK,UK,8,145.05,2,credit_line,confirmed
B000213,2025-10-24 20:03:00,A0181,U00755,hotel,domestic,US,US,8,145.88,4,bank,pending
B000214,2025-03-02 15:42:00,A0160,U00532,hotel,domestic,IN,IN,7,320.93,2,credit_line,confirmed
B000215,2025-01-11 00:07:00,A0131,U00076,hotel,international,SG,UK,39,624.16,2,credit_line,confirmed
B000216,2025-03-21 02:46:00,A0176,U00298,hotel,domestic,IN,IN,5,344.7,1,credit_line,confirmed
B000217,2025-08-12 03:45:00,A0011,U00510,flight,domestic,UK,UK,8,222.61,3,credit_line,confirmed
B000218,2025-11-07 19:24:00,A0175,U00427,flight,domestic,IN,IN,14,148.78,4,credit_line,confirmed
B000219,2025-02-27 17:00:00,A0049,U00087,flight,domestic,IN,IN,3,157.42,10,credit_line,confirmed
B000220,2025-11-08 13:16:00,A0081,U00432,flight,domestic,AE,AE,18,176.68,5,credit_line,confirmed
B000221,2025-12-10 06:28:00,A0089,U00105,hotel,international,AE,UK,24,1169.88,2,credit_line,confirmed
B000222,2025-06-04 21:39:00,A0003,U00583,flight,domestic,AE,AE,5,137.59,1,credit_line,failed
B000223,2025-06-23 21:16:00,A0141,U00417,flight,international,IN,TH,23,5242.52,1,bank,confirmed
B000224,2025-08-09 03:26:00,A0109,U00368,hotel,domestic,IN,IN,6,275.43,1,credit_line,confirmed
B000225,2025-01-20 10:44:00,A0093,U00708,hotel,domestic,US,US,10,330.89,2,credit_line,confirmed
B000226,2025-12-31 01:32:00,A0098,U00312,hotel,domestic,US,US,15,218.14,2,card,confirmed
B000227,2025-05-13 19:19:00,A0064,U00500,hotel,international,AE,DE,67,1621.02,4,card,confirmed
B000228,2025-11-28 06:44:00,A0134,U00578,hotel,domestic,AE,AE,4,169.01,1,card,confirmed
B000229,2025-08-29 08:33:00,A0064,U00454,hotel,domestic,IN,IN,8,373.95,1,credit_line,confirmed
B000230,2025-01-11 02:48:00,A0141,U00169,flight,domestic,IN,IN,13,210.37,2,credit_line,confirmed
B000231,2025-06-04 06:09:00,A0054,U00032,package,international,IN,DE,45,870.94,5,credit_line,confirmed
B000232,2025-04-12 18:19:00,A0019,U00083,flight,domestic,AE,AE,4,46.17,1,card,confirmed
B000233,2025-04-13 14:28:00,A0016,U00159,flight,domestic,UK,UK,2,124.16,1,credit_line,confirmed
B000234,2025-03-07 19:51:00,A0076,U00625,flight,domestic,AE,AE,5,182.71,2,credit_line,confirmed
B000235,2025-09-01 08:34:00,A0082,U00505,hotel,domestic,IN,IN,2,206.79,1,bank,confirmed
B000236,2025-02-23 23:01:00,A0189,U00452,package,domestic,IN,IN,16,105.44,10,credit_line,confirmed
B000237,2025-06-09 03:24:00,A0014,U00138,flight,domestic,IN,IN,15,61.47,2,bank,confirmed
B000238,2025-11-11 14:35:00,A0191,U00333,flight,international,UK,TH,53,5652.82,6,credit_line,failed
B000239,2025-12-18 08:00:00,A0082,U00257,hotel,domestic,IN,IN,15,200.74,7,credit_line,confirmed
B000240,2025-08-14 14:48:00,A0044,U00085,package,international,AE,TH,82,1086.32,1,credit_line,confirmed
B000241,2025-03-26 08:09:00,A0098,U00364,flight,international,SG,FR,58,1519.16,1,credit_line,confirmed
B000242,2025-06-28 20:51:00,A0097,U00623,flight,domestic,IN,IN,14,111.28,1,credit_line,pending
B000243,2025-11-18 21:06:00,A0014,U00588,hotel,domestic,IN,IN,7,365.33,2,credit_line,confirmed
B000244,2025-10-31 19:49:00,A0145,U00520,flight,international,AE,SG,38,980.9,1,credit_line,confirmed
B000245,2025-07-02 21:29:00,A0117,U00124,hotel,domestic,IN,IN,5,134.46,4,card,confirmed
B000246,2025-11-18 12:42:00,A0042,U00072,flight,domestic,AE,AE,9,144.51,1,credit_line,confirmed
B000247,2025-04-12 16:44:00,A0031,U00341,flight,international,UK,AE,35,864.32,6,credit_line,confirmed
B000248,2025-03-18 16:01:00,A0057,U00091,flight,domestic,IN,IN,7,107.83,2,credit_line,confirmed
B000249,2025-06-07 12:01:00,A0148,U00737,flight,international,AE,TH,61,1784.15,2,credit_line,confirmed
B000250,2025-12-16 16:55:00,A0126,U00433,flight,domestic,US,US,7,276.06,3,card,pending
B000251,2025-04-28 12:59:00,A0059,U00229,flight,domestic,AE,AE,1,97.19,7,credit_line,confirmed
B000252,2025-06-21 15:05:00,A0177,U00248,hotel,domestic,US,US,15,172.48,1,credit_line,confirmed
B000253,2025-08-04 17:05:00,A0170,U00165,flight,international,IN,SG,89,1460.94,1,card,confirmed
