,is_vpn_or_proxy,device_switch_flag,avg_logins_per_day,failed_login_ratio
B000087,0.0,0.0,0.08729472774416594,0.16958403914925654
B000088,0.0,0.0,0.16110630942091617,0.05326557500470544
B000089,0.0,0.0,0.054278305963699224,0.0419725202333898
B000090,0.0,0.0,0.03837510803802939,0.039337474120082816
B000091,0.0,0.0,0.04719101123595505,0.050818746470920384
B000092,0.0,0.0,0.068971477960242,0.016563146997929608
B000093,0.0,0.0,0.1076923076923077,0.04968944099378882
B000094,0.0,0.0,0.18513396715643907,0.0399021268586486
B000095,0.0,0.0,0.039412273120138286,0.07923960097873142
B000096,0.0,0.0,0.06361279170267935,0.23451910408432147
B000097,0.0,0.0,0.0,0.051759834368530024
B000098,0.0,0.0,0.11685393258426965,0.1562205910031997
B000099,0.0,0.0,0.04114088159031979,0.0502540937323546
B000100,0.0,0.0,0.4369922212618842,0.16337285902503296
B000101,1.0,1.0,0.42662057044079515,0.1981931112365895
B000102,0.0,0.0,0.06603284356093345,0.015433841520798044
B000103,0.0,0.0,0.11495246326707001,0.003764351590438546
B000104,0.0,0.0,0.08885047536732929,0.07415772633163939
B000105,0.0,0.0,0.0891961970613656,0.18558253340862038
B000106,0.0,0.0,0.03249783923941227,0.02446828533785056
B000107,0.0,0.0,0.13569576490924803,0.025409373235460192
B000108,0.0,0.0,0.1536732929991357,0.19649915302089216
B000109,0.0,0.0,0.03301642178046672,0.050630528891398456
B000110,0.0,0.0,0.07986171132238548,0.0632411067193676
B000111,0.0,0.0,0.12999135695764907,0.12196499153020891
B000112,0.0,0.0,0.14330164217804667,0.03538490495012234
B000113,0.0,0.0,0.012618841832324978,0.06474684735554301
B000114,0.0,0.0,0.2570440795159896,0.08130999435347262
B000115,0.0,0.0,0.06983578219533276,0.04912478825522303
B000116,0.0,0.0,0.07363872082973207,0.0502540937323546
B000117,1.0,1.0,0.42662057044079515,0.1981931112365895
B000118,0.0,0.0,0.10492653414001729,0.1976284584980237
B000119,0.0,0.0,0.0878133102852204,0.12121212121212122
B000120,0.0,0.0,0.04027657735522904,0.14135140222096745
B000121,0.0,0.0,0.039412273120138286,0.022586109542631284
B000122,0.0,0.0,0.09282627484874675,0.043666478449087144
B000123,0.0,0.0,0.10492653414001729,0.03557312252964427
B000124,0.0,1.0,0.6696629213483146,0.24374176548089588
B000125,0.0,0.0,0.0,0.05514775079992471
B000126,0.0,0.0,0.052031114952463264,0.03199698851872765
B000127,0.0,0.0,0.029732065687121865,0.004705439488048183
B000128,1.0,0.0,0.2350907519446845,0.20685111989459815
B000129,0.0,0.0,0.13396715643906654,0.03124411820063994
B000130,0.0,0.0,0.045980985306828,0.019009975531714664
B000131,0.0,0.0,0.1372515125324114,0.02559759081498212
B000132,0.0,0.0,0.09645635263612791,0.013739883305100696
B000133,0.0,0.0,0.0,0.10634293242988896
B000134,0.0,0.0,0.07346585998271392,0.24374176548089588
B000135,0.0,1.0,0.37424373379429554,0.023903632599284776
B000136,0.0,0.0,0.010371650821089023,0.05157161678900809
B000137,0.0,0.0,0.1794295592048401,0.02051571616789008
B000138,0.0,0.0,0.0926534140017286,0.06286467156032373
B000139,0.0,0.0,0.222990492653414,0.048560135516657256
B000140,0.0,0.0,0.23906655142610198,0.11104837191793715
B000141,0.0,1.0,0.8499567847882454,0.11368341803124413
B000142,0.0,0.0,0.10008643042350908,0.047807265198569544
B000143,0.0,0.0,0.12238547968885047,0.011293054771315642
B000144,0.0,0.0,0.057735522904062225,0.08676830415960851
B000145,0.0,0.0,0.09939498703543648,0.038396386222473176
B000146,0.0,0.0,0.07882454624027657,0.0399021268586486
B000147,0.0,0.0,0.051512532411408817,0.028797289666854884
B000148,0.0,0.0,0.08210890233362143,0.10615471485036704
B000149,0.0,0.0,0.2639585133967156,0.05797101449275362
B000150,0.0,0.0,0.17061365600691442,0.12572934312064746
B000151,0.0,0.0,0.20414866032843562,0.04536043666478449
B000152,0.0,0.0,0.0,0.01562205910031997
B000153,0.0,0.0,0.10164217804667243,0.0598531902879729
B000154,0.0,0.0,0.12428694900605013,0.025221155655938264
B000155,0.0,0.0,0.18824546240276577,0.0502540937323546
B000156,0.0,0.0,0.2157303370786517,0.0653115000941088
B000157,0.0,0.0,0.0658599827139153,0.06117071334462639
B000158,0.0,0.0,0.20535868625756268,0.034255599472990776
B000159,0.0,0.0,0.0878133102852204,0.12121212121212122
B000160,0.0,0.0,0.15592048401037165,0.1106719367588933
B000161,1.0,0.0,0.3113223854796889,0.9917184265010353
B000162,0.0,0.0,0.08885047536732929,0.11613024656502918
B000163,1.0,0.0,0.057389801210025924,0.0199510634293243
B000164,0.0,0.0,0.08349178910976664,0.1182006399397704
B000165,0.0,1.0,0.4369922212618842,0.16337285902503296
B000166,0.0,1.0,0.4369922212618842,0.16337285902503296
B000167,0.0,0.0,0.07588591184096802,0.0839450404667796
B000168,0.0,0.0,0.14762316335350043,0.027856201769245248
B000169,0.0,0.0,0.12653414001728608,0.09994353472614342
B000170,0.0,0.0,0.0,0.0220214568040655
B000171,1.0,0.0,0.541400172860847,0.1863354037267081
B000172,0.0,0.0,0.18478824546240274,0.09429700734048561
B000173,0.0,0.0,0.2261019878997407,0.012798795407491058
B000174,0.0,0.0,0.010371650821089023,0.05157161678900809
B000175,0.0,0.0,0.12048401037165081,0.008846226237530586
B000176,0.0,0.0,0.2639585133967156,0.05797101449275362
B000177,0.0,0.0,0.08210890233362143,0.10615471485036704
B000178,1.0,0.0,0.1891097666378565,0.04460756634669678
B000179,0.0,0.0,0.035955056179775284,0.1182006399397704
B000180,0.0,0.0,0.08193604148660329,0.0018821757952192735
B000181,0.0,0.0,0.19118409680207432,0.01919819311123659
B000182,0.0,0.0,0.01745894554883319,0.12290607942781856
B000183,0.0,0.0,0.1989628349178911,0.04009034443817053
B000184,0.0,0.0,0.047363872082973206,0.038584603801995104
B000185,0.0,0.0,0.22385479688850474,0.03199698851872765
B000186,0.0,0.0,0.0,0.1507622811970638
B000187,0.0,0.0,0.13777009507346585,0.018445322793148883
B000188,0.0,0.0,0.059982713915298184,0.060794278185582536
B000189,0.0,0.0,0.14226447709593779,0.0653115000941088
B000190,0.0,0.0,0.24027657735522903,0.06794654620741578
B000191,0.0,1.0,0.4271391529818496,1.0
B000192,0.0,0.0,0.23906655142610198,0.11104837191793715
B000193,0.0,0.0,0.0,0.11857707509881422
B000194,0.0,0.0,0.06326707000864304,0.03162055335968379
B000195,0.0,0.0,0.19118409680207432,0.02559759081498212
B000196,0.0,0.0,0.1756266205704408,0.1266704310182571
B000197,0.0,0.0,0.11650821089023336,0.010540184453227932
B000198,1.0,0.0,0.42662057044079515,0.1981931112365895
B000199,0.0,0.0,0.2639585133967156,0.05797101449275362
B000200,1.0,0.0,0.10492653414001729,0.03557312252964427
B000201,0.0,0.0,0.11564390665514261,0.11613024656502918
B000202,0.0,0.0,0.22627484874675885,0.01204592508940335
B000203,0.0,0.0,0.054278305963699224,0.0419725202333898
B000204,0.0,0.0,0.31961970613656004,0.6325992847731978
B000205,0.0,0.0,0.16681071737251513,0.025409373235460192
B000206,0.0,0.0,0.08124459809853068,0.02070393374741201
B000207,0.0,0.0,0.1661192739844425,0.010351966873706004
B000208,0.0,0.0,0.1815038893690579,0.07716920760399022
B000209,0.0,0.0,0.045980985306828,0.019009975531714664
B000210,0.0,0.0,0.17061365600691442,0.12949369471108602
B000211,0.0,0.0,0.1828867761452031,0.08338038772821381
B000212,0.0,0.0,0.11979256698357821,0.09241483154526633
B000213,0.0,0.0,0.1491789109766638,0.07848673066064371
B000214,1.0,1.0,0.4311149524632671,0.16581968755881799
B000215,0.0,0.0,0.1863439930855661,0.2828910220214568
B000216,0.0,0.0,0.1694036300777874,0.04253717297195558
B000217,0.0,0.0,0.17009507346585998,0.19122906079427818
B000218,0.0,0.0,0.09403630077787381,0.051948051948051945
B000219,0.0,0.0,0.030077787381158166,0.06813476378693771
B000220,0.0,0.0,0.027484874675885913,0.0798042537172972
B000221,0.0,0.0,0.12065687121866897,0.029361942405420668
B000222,0.0,0.0,0.2240276577355229,0.045548654244306416
B000223,0.0,0.0,0.13154710458081245,0.1148127235083757
B000224,0.0,0.0,0.1560933448573898,0.044419348767174856
B000225,0.0,0.0,0.1512532411408816,0.14850367024280067
B000226,0.0,0.0,0.0658599827139153,0.06117071334462639
B000227,0.0,0.0,0.1512532411408816,0.12610577827969133
B000228,0.0,0.0,0.1453759723422645,0.00564652738565782
B000229,0.0,0.0,0.09178910976663784,0.14737436476566912
B000230,0.0,0.0,0.11737251512532411,0.04423113118765293
B000231,0.0,0.0,0.0878133102852204,0.06907585168454734
B000232,0.0,0.0,0.1922212618841832,0.03726708074534161
B000233,0.0,0.0,0.08055315471045808,0.09260304912478826
B000234,0.0,0.0,0.10025929127052723,0.1596085074345944
B000235,0.0,0.0,0.008297320656871218,0.021645021645021648
B000236,0.0,0.0,0.12324978392394122,0.061735366083192175
B000237,0.0,0.0,0.05410544511668107,0.1266704310182571
B000238,0.0,0.0,0.08020743301642178,0.155467720685112
B000239,0.0,0.0,0.2212618841832325,0.09542631281761717
B000240,0.0,0.0,0.2261019878997407,0.012798795407491058
B000241,0.0,0.0,0.12013828867761452,0.06493506493506494
B000242,0.0,0.0,0.10527225583405359,0.05665349143610013
B000243,0.0,0.0,0.1139152981849611,0.17504234895539245
B000244,0.0,0.0,0.03975799481417459,0.10747223790702053
B000245,0.0,0.0,0.01348314606741573,0.06361754187841145
B000246,0.0,0.0,0.05635263612791702,0.026162243553547904
B000247,0.0,0.0,0.25064822817631804,0.09599096555618296
B000248,0.0,0.0,0.07744165946413138,0.06813476378693771
B000249,1.0,1.0,0.19965427830596372,0.9113495200451721
B000250,0.0,0.0,0.08193604148660329,0.0018821757952192735
B000251,0.0,0.0,0.025756266205704408,0.019009975531714664
B000252,0.0,0.0,0.1369057908383751,0.16149068322981366
B000253,0.0,0.0,0.2048401037165082,0.011293054771315642
B000254,0.0,0.0,0.04269662921348315,0.043478260869565216
B000255,0.0,0.0,0.13050993949870354,0.07660455486542443
B000256,1.0,0.0,0.31961970613656004,0.6325992847731978
B000257,0.0,0.0,0.08677614520311148,0.08375682288725768
B000258,0.0,0.0,0.1159896283491789,0.02503293807641634
B000259,0.0,0.0,0.18478824546240274,0.09429700734048561
B000260,0.0,0.0,0.0,0.015433841520798044
B000261,1.0,0.0,0.1547104580812446,0.0018821757952192735
B000262,0.0,0.0,0.11979256698357821,0.09241483154526633
B000263,0.0,0.0,0.18668971477960242,0.027291549030679468
B000264,0.0,0.0,0.11944684528954191,0.061358930924148326
B000265,0.0,0.0,0.0,0.045736871823828344
B000266,0.0,0.0,0.16352636127917028,0.06474684735554301
B000267,0.0,0.0,0.08210890233362143,0.08846226237530586
B000268,0.0,0.0,0.13811581676750215,0.07434594391116131
B000269,0.0,0.0,0.04373379429559204,0.06926406926406926
B000270,0.0,0.0,0.1955056179775281,0.03350272915490307
B000271,0.0,0.0,0.1787381158167675,0.09053265575004706
B000272,1.0,1.0,0.665514261019879,0.07171089779785432
B000273,0.0,0.0,0.1989628349178911,0.04009034443817053
B000274,0.0,0.0,0.18651685393258424,0.036325992847731976
B000275,0.0,0.0,0.24096802074330162,0.12478825522303783
B000276,0.0,0.0,0.14866032843560933,0.0694522868435912
B000277,0.0,0.0,0.10544511668107173,0.0922266139657444
B000278,0.0,0.0,0.11339671564390665,0.05213626952757387
B000279,0.0,0.0,0.10423509075194469,0.028609072087332956
B000280,0.0,0.0,0.11737251512532411,0.05458309806135893
B000281,0.0,0.0,0.12324978392394122,0.061735366083192175
B000282,1.0,1.0,0.20864304235090753,0.06361754187841145
B000283,0.0,0.0,0.010371650821089023,0.05157161678900809
B000284,0.0,0.0,0.06499567847882454,0.07227555053642011
B000285,0.0,0.0,0.21503889369057907,0.02277432712215321
B000286,0.0,0.0,0.17165082108902333,0.02484472049689441
B000287,0.0,0.0,0.09714779602420051,0.06399397703745531
B000288,0.0,0.0,0.019706136560069143,0.025785808394504048
B000289,0.0,0.0,0.059982713915298184,0.060794278185582536
B000290,0.0,0.0,0.07294727744165946,0.03105590062111801
B000291,0.0,0.0,0.10337078651685394,0.011293054771315642
B000292,0.0,0.0,0.21192739844425237,0.05213626952757387
B000293,0.0,0.0,0.1547104580812446,0.0018821757952192735
B000294,0.0,0.0,0.0442523768366465,0.019574628270280447
B000295,0.0,0.0,0.15453759723422644,0.00771692076039902
B000296,0.0,0.0,0.11477960242005185,0.03613777526821005
B000297,0.0,0.0,0.06845289541918755,0.002635046113306983
B000298,0.0,0.0,0.13154710458081245,0.1148127235083757
B000299,0.0,0.0,0.07363872082973207,0.17316017316017315
B000300,0.0,0.0,0.09040622299049265,0.051948051948051945
B000301,0.0,1.0,0.2212618841832325,0.09542631281761717
B000302,0.0,0.0,0.20432152117545377,0.044419348767174856
B000303,0.0,0.0,0.05479688850475367,0.08262751741012611
B000304,1.0,0.0,0.1159896283491789,0.05627705627705628
B000305,0.0,0.0,0.04338807260155574,0.07095802747976662
B000306,0.0,0.0,0.0,0.08940335027291549
B000307,0.0,0.0,0.06949006050129644,0.017316017316017316
B000308,0.0,0.0,0.0926534140017286,0.12290607942781856
B000309,0.0,0.0,0.030077787381158166,0.16186711838885753
B000310,0.0,0.0,0.10285220397579949,0.05251270468661773
B000311,0.0,0.0,0.10492653414001729,0.10822510822510822
B000312,0.0,0.0,0.08522039757994813,0.021645021645021648
B000313,0.0,0.0,0.15350043215211756,0.13909279126670432
B000314,0.0,0.0,0.0,0.11857707509881422
B000315,0.0,0.0,0.10855661192739845,0.11669489930359496
B000316,0.0,0.0,0.04027657735522904,0.14135140222096745
B000317,0.0,0.0,0.17130509939498703,0.01336344814605684
B000318,0.0,0.0,0.006222990492653414,0.016939582156973464
B000319,1.0,0.0,0.002765773552290406,0.07528703180877094
B000320,0.0,0.0,0.09524632670700085,0.03613777526821005
B000321,0.0,0.0,0.07726879861711322,0.015057406361754188
B000322,0.0,0.0,0.017286084701815037,0.08262751741012611
B000323,0.0,0.0,0.2254105445116681,0.04724261246000376
B000324,0.0,0.0,0.06015557476231633,0.009787314135140222
B000325,0.0,0.0,0.03768366464995679,0.13852813852813853
B000326,0.0,0.0,0.1598962834917891,0.0033879164313946925
B000327,0.0,0.0,0.06084701815038893,0.016939582156973464
B000328,0.0,0.0,0.04753673292999135,0.05006587615283267
B000329,0.0,0.0,0.35505617977528087,0.28533785055524186
B000330,0.0,0.0,0.14883318928262748,0.05100696405044231
B000331,0.0,0.0,0.16681071737251513,0.025409373235460192
B000332,1.0,1.0,0.8499567847882454,0.11368341803124413
B000333,0.0,0.0,0.05445116681071737,0.21268586485977792
B000334,0.0,0.0,0.046672428694900604,0.0914737436476567
B000335,0.0,0.0,0.12463267070008642,0.09712027103331451
B000336,0.0,0.0,0.15695764909248056,0.06041784302653869
B000337,0.0,0.0,0.15194468452895418,0.06474684735554301
B000338,0.0,0.0,0.07519446845289542,0.034443817052512704
B000339,0.0,0.0,0.16076058772687987,0.05797101449275362
B000340,0.0,0.0,0.06534140017286084,0.04084321475625824
B000341,0.0,0.0,0.20121002592912707,0.0035761340109166195
B000342,0.0,0.0,0.08452895419187553,0.041784302653867865
B000343,1.0,0.0,0.1780466724286949,0.06549971767363072
B000344,1.0,0.0,0.37424373379429554,0.023903632599284776
B000345,0.0,0.0,0.1355229040622299,0.013928100884622622
B000346,0.0,0.0,0.045980985306828,0.017504234895539244
B000347,0.0,0.0,0.24494382022471908,0.04705439488048183
B000348,0.0,0.0,0.10613656006914433,0.05627705627705628
B000349,0.0,0.0,0.007260155574762316,0.030114812723508376
B000350,0.0,0.0,0.13050993949870354,0.07660455486542443
B000351,0.0,0.0,0.20121002592912707,0.0035761340109166195
B000352,0.0,0.0,0.046672428694900604,0.0914737436476567
B000353,0.0,0.0,0.03163353500432152,0.17297195558065123
B000354,0.0,0.0,0.18824546240276577,0.0502540937323546
B000355,0.0,0.0,0.1139152981849611,0.06418219461697723
B000356,1.0,0.0,0.2350907519446845,0.20685111989459815
B000357,0.0,0.0,0.05410544511668107,0.1266704310182571
B000358,0.0,0.0,0.19567847882454625,0.05947675512892905
B000359,0.0,0.0,0.0,0.051759834368530024
B000360,0.0,0.0,0.10025929127052723,0.1596085074345944
B000361,0.0,0.0,0.06707000864304234,0.016751364577451536
B000362,0.0,0.0,0.06672428694900605,0.14605684170901562
B000363,0.0,0.0,0.09887640449438202,0.04592508940335027
B000364,0.0,0.0,0.10821089023336214,0.17711274233013363
B000365,0.0,0.0,0.059636992221261884,0.08959156785243742
B000366,0.0,0.0,0.19567847882454625,0.05947675512892905
B000367,1.0,0.0,0.08280034572169404,0.028985507246376815
B000368,0.0,0.0,0.021780466724286948,0.06964050442311313
B000369,0.0,0.0,0.10302506482281763,0.006399397703745529
B000370,0.0,1.0,0.26464995678478825,0.779785431959345
B000371,0.0,0.0,0.042523768366464994,0.1637492941840768
B000372,0.0,0.0,0.24321521175453759,0.05213626952757387
B000373,0.0,0.0,0.06707000864304234,0.016751364577451536
B000374,0.0,0.0,0.05306828003457217,0.015057406361754188
B000375,0.0,0.0,0.027484874675885913,0.0798042537172972
B000376,0.0,0.0,0.19948141745894554,0.21852060982495766
B000377,0.0,0.0,0.03526361279170268,0.054771315640880856
B000378,0.0,0.0,0.10043215211754537,0.04310182571052136
B000379,0.0,0.0,0.05946413137424373,0.12535290796160362
B000380,0.0,0.0,0.08815903197925669,0.026726896292113684
B000381,0.0,0.0,0.2869490060501297,0.049877658573310744
B000382,0.0,0.0,0.08660328435609334,0.033314511575381144
B000383,0.0,0.0,0.20103716508210892,0.04291360813099943
B000384,0.0,0.0,0.177009507346586,0.08413325804630153
B000385,0.0,0.0,0.10337078651685394,0.011293054771315642
B000386,0.0,0.0,0.17908383751080378,0.26632787502352717
B000387,0.0,0.0,0.08677614520311148,0.08375682288725768
B000388,0.0,0.0,0.06845289541918755,0.002635046113306983
B000389,0.0,0.0,0.11166810717372515,0.054959533220402784
B000390,0.0,0.0,0.16819360414866033,0.002070393374741201
B000391,0.0,0.0,0.10285220397579949,0.05251270468661773
B000392,0.0,0.0,0.01348314606741573,0.06361754187841145
B000393,0.0,1.0,0.3598962834917891,0.9947299077733862
B000394,0.0,0.0,0.09524632670700085,0.05138339920948616
B000395,0.0,0.0,0.0,0.043854696028609065
B000396,0.0,0.0,0.058081244598098526,0.0873329568981743
B000397,0.0,0.0,0.14866032843560933,0.0694522868435912
B000398,0.0,0.0,0.04269662921348315,0.043478260869565216
B000399,0.0,0.0,0.1825410544511668,0.041407867494824016
B000400,0.0,0.0,0.04338807260155574,0.003011481272350838
B000401,0.0,0.0,0.08746758859118409,0.03312629399585921
B000402,0.0,0.0,0.10025929127052723,0.1596085074345944
B000403,0.0,0.0,0.1619706136560069,0.0702051571616789
B000404,0.0,1.0,0.20864304235090753,0.06361754187841145
B000405,0.0,0.0,0.1605877268798617,0.11914172783738003
B000406,0.0,0.0,0.07571305099394987,0.14473931865236211
B000407,0.0,0.0,0.11685393258426965,0.1562205910031997
B000408,0.0,0.0,0.05514261019878997,0.0735930735930736
B000409,0.0,0.0,0.08107173725151254,0.06192358366271411
B000410,0.0,0.0,0.14589455488331893,0.16186711838885753
B000411,0.0,0.0,0.1787381158167675,0.06230001882175796
B000412,1.0,1.0,0.6696629213483146,0.24374176548089588
B000413,0.0,0.0,0.0,0.051759834368530024
B000414,0.0,0.0,0.07121866897147797,0.01562205910031997
B000415,0.0,0.0,0.1989628349178911,0.04009034443817053
B000416,0.0,0.0,0.15073465859982715,0.051759834368530024
B000417,0.0,0.0,0.03681936041486603,0.24054206662902314
B000418,0.0,0.0,0.0,0.08940335027291549
B000419,0.0,0.0,0.15955056179775282,0.08281573498964805
B000420,0.0,0.0,0.033707865168539325,0.04027856201769245
B000421,0.0,0.0,0.04338807260155574,0.07095802747976662
B000422,0.0,1.0,0.6696629213483146,0.24374176548089588
B000423,0.0,0.0,0.05479688850475367,0.08262751741012611
B000424,0.0,0.0,0.05514261019878997,0.0735930735930736
B000425,0.0,0.0,0.12532411408815902,0.05307735742518351
B000426,1.0,1.0,0.2350907519446845,0.20685111989459815
B000427,0.0,0.0,0.09714779602420051,0.06399397703745531
B000428,0.0,0.0,0.16110630942091617,0.020139281008846228
B000429,0.0,0.0,0.1571305099394987,0.027479766610201392
B000430,0.0,0.0,0.10544511668107173,0.0922266139657444
B000431,0.0,0.0,0.12048401037165081,0.008846226237530586
B000432,0.0,0.0,0.2254105445116681,0.04724261246000376
B000433,0.0,0.0,0.16439066551426101,0.026726896292113684
B000434,0.0,0.0,0.17908383751080378,0.26632787502352717
B000435,0.0,0.0,0.0452895419187554,0.07716920760399022
B000436,0.0,0.0,0.18478824546240274,0.09429700734048561
B000437,0.0,0.0,0.17009507346585998,0.19122906079427818
B000438,0.0,1.0,0.2350907519446845,0.20685111989459815
B000439,0.0,0.0,0.13777009507346585,0.018445322793148883
B000440,0.0,0.0,0.08418323249783924,0.043854696028609065
B000441,1.0,1.0,0.37424373379429554,0.023903632599284776
B000442,0.0,0.0,0.1139152981849611,0.040466779597214377
B000443,0.0,0.0,0.12117545375972341,0.06512328251458688
B000444,0.0,0.0,0.09524632670700085,0.05138339920948616
B000445,0.0,0.0,0.15955056179775282,0.03670242800677583
B000446,0.0,0.0,0.07830596369922213,0.019574628270280447
B000447,0.0,0.0,0.13414001728608468,0.09241483154526633
B000448,0.0,0.0,0.17597234226447708,0.10220214568040656
B000449,0.0,0.0,0.1825410544511668,0.041407867494824016
B000450,0.0,0.0,0.11737251512532411,0.08620365142104272
B000451,0.0,0.0,0.09576490924805531,0.041407867494824016
B000452,0.0,0.0,0.1818496110630942,0.11876529267833616
B000453,0.0,0.0,0.12013828867761452,0.06493506493506494
B000454,0.0,0.0,0.044425237683664645,0.07641633728590251
B000455,0.0,0.0,0.019706136560069143,0.025785808394504048
B000456,0.0,0.0,0.1825410544511668,0.041407867494824016
B000457,0.0,0.0,0.1547104580812446,0.0018821757952192735
B000458,0.0,0.0,0.06983578219533276,0.20214568040654998
B000459,0.0,0.0,0.11339671564390665,0.034443817052512704
B000460,0.0,0.0,0.0,0.0033879164313946925
B000461,0.0,0.0,0.051512532411408817,0.028797289666854884
B000462,0.0,0.0,0.08522039757994813,0.1341991341991342
B000463,0.0,0.0,0.15955056179775282,0.08281573498964805
B000464,0.0,1.0,0.42662057044079515,0.1981931112365895
B000465,0.0,0.0,0.10146931719965428,0.11989459815546774
B000466,0.0,0.0,0.17424373379429559,0.05571240353849049
B000467,0.0,0.0,0.3016421780466724,0.06286467156032373
